event_date,event_name,event_type,direction,expected_channel,source_note
2023-03-17,央行宣布下调金融机构存款准备金率0.25个百分点,RRR Cut,Easing,流动性改善与风险偏好提升,中国人民银行公告
2023-06-13,7天期逆回购操作利率下调10个基点,OMO Rate Cut,Easing,短端利率下行并带动估值修复,中国人民银行公开市场操作公告
2023-06-20,1年期和5年期以上LPR均下调10个基点,LPR Cut,Easing,融资成本下降并改善权益估值,全国银行间同业拆借中心公告
2023-09-14,央行宣布下调金融机构存款准备金率0.25个百分点,RRR Cut,Easing,中长期流动性释放,中国人民银行公告
2024-01-24,央行宣布下调金融机构存款准备金率0.5个百分点,RRR Cut,Easing,释放长期流动性并稳定市场预期,中国人民银行新闻发布会
2024-02-20,5年期以上LPR下调25个基点,LPR Cut,Easing,地产链和长期贷款定价改善,全国银行间同业拆借中心公告
2024-07-22,7天期逆回购操作利率下调10个基点,OMO Rate Cut,Easing,政策利率走廊下移,中国人民银行公开市场操作公告
2024-09-24,央行宣布降准并下调政策利率组合措施,Policy Package,Easing,流动性和风险偏好同步改善,国务院新闻办公室发布会
2024-10-21,1年期和5年期以上LPR均下调25个基点,LPR Cut,Easing,信贷定价下行并支持需求修复,全国银行间同业拆借中心公告
2025-05-07,央行宣布降准0.5个百分点并下调政策利率,Policy Package,Easing,宽货币信号强化,中国人民银行新闻发布会
